"lane_id","zone_id","lane_number","name","state","road","direction","location_description","lane_type","organization","detector_type","latitude","longitude","bearing","default_speed","interval"
12,1316,1,"Lane 1 EB Normal","Northern Virginia","I-66","East","I-66 NEAR Sudley Rd @ MM 49.02","Normal","VDOT_NOVA","Single Loop",38.8105401,-77.4889331,,65,60
13,1119,2,"Lane 2 EB Normal","Northern Virginia","I-66","East","I-66 NEAR Sudley Rd @ MM 49.02","Normal","VDOT_NOVA","Single Loop",38.8105087,-77.4889102,,65,60
14,1119,3,"Lane 3 EB Normal","Northern Virginia","I-66","East","I-66 NEAR Sudley Rd @ MM 49.02","Normal","VDOT_NOVA","Single Loop",38.8104782,-77.4888879,,65,60
15,1119,4,"Lane 4 EB Normal","Northern Virginia","I-66","East","I-66 NEAR Sudley Rd @ MM 49.02","Normal","VDOT_NOVA","Single Loop",38.8104526,-77.4888714,,65,60
16,1317,1,"Lane 1 WB Normal","Northern Virginia","I-66","West","I-66 NEAR Sudley Rd @ MM 49.02","Normal","VDOT_NOVA","Single Loop",38.8107898,-77.4886379,,65,60
17,1120,2,"Lane 2 WB Normal","Northern Virginia","I-66","West","I-66 NEAR Sudley Rd @ MM 49.02","Normal","VDOT_NOVA","Single Loop",38.8108191,-77.4886571,,65,60
18,1120,3,"Lane 3 WB Normal","Northern Virginia","I-66","West","I-66 NEAR Sudley Rd @ MM 49.02","Normal","VDOT_NOVA","Single Loop",38.8108492,-77.4886747,,65,60
19,1120,4,"Lane 4 WB Normal","Northern Virginia","I-66","West","I-66 NEAR Sudley Rd @ MM 49.02","Normal","VDOT_NOVA","Single Loop",38.8108797,-77.4886928,,65,60
20,1318,1,"Lane 1 EB Normal","Northern Virginia","I-66","East","I-66 NEAR Sudley Rd @ MM 49.5","Normal","VDOT_NOVA","Single Loop",38.8136396,-77.4810255,,65,60
21,1121,2,"Lane 2 EB Normal","Northern Virginia","I-66","East","I-66 NEAR Sudley Rd @ MM 49.5","Normal","VDOT_NOVA","Single Loop",38.8136071,-77.4810035,,65,60
22,1121,3,"Lane 3 EB Normal","Northern Virginia","I-66","East","I-66 NEAR Sudley Rd @ MM 49.5","Normal","VDOT_NOVA","Single Loop",38.8135758,-77.4809849,,65,60
23,1121,4,"Lane 4 EB Normal","Northern Virginia","I-66","East","I-66 NEAR Sudley Rd @ MM 49.5","Normal","VDOT_NOVA","Single Loop",38.8135472,-77.4809648,,65,60
24,1319,1,"Lane 1 WB Normal","Northern Virginia","I-66","West","I-66 NEAR Sudley Rd @ MM 49.5","Normal","VDOT_NOVA","Single Loop",38.8137866,-77.4810722,,65,60
25,1122,2,"Lane 2 WB Normal","Northern Virginia","I-66","West","I-66 NEAR Sudley Rd @ MM 49.5","Normal","VDOT_NOVA","Single Loop",38.8138169,-77.4810921,,65,60
26,1122,3,"Lane 3 WB Normal","Northern Virginia","I-66","West","I-66 NEAR Sudley Rd @ MM 49.5","Normal","VDOT_NOVA","Single Loop",38.8138481,-77.4811126,,65,60
27,1122,4,"Lane 4 WB Normal","Northern Virginia","I-66","West","I-66 NEAR Sudley Rd @ MM 49.5","Normal","VDOT_NOVA","Single Loop",38.8138789,-77.4811328,,65,60
28,1320,1,"Lane 1 EB Normal","Northern Virginia","I-66","East","I-66 NEAR Lee Hwy @ MM 50.3","Normal","VDOT_NOVA","Single Loop",38.8167473,-77.4731209,,65,60
29,1123,2,"Lane 2 EB Normal","Northern Virginia","I-66","East","I-66 NEAR Lee Hwy @ MM 50.3","Normal","VDOT_NOVA","Single Loop",38.8167129,-77.4730993,,65,60
30,1123,3,"Lane 3 EB Normal","Northern Virginia","I-66","East","I-66 NEAR Lee Hwy @ MM 50.3","Normal","VDOT_NOVA","Single Loop",38.8166831,-77.4730806,,65,60
31,1123,4,"Lane 4 EB Normal","Northern Virginia","I-66","East","I-66 NEAR Lee Hwy @ MM 50.3","Normal","VDOT_NOVA","Single Loop",38.8166541,-77.4730629,,65,60
32,1321,1,"Lane 1 WB Normal","Northern Virginia","I-66","West","I-66 NEAR Lee Hwy @ MM 50.3","Normal","VDOT_NOVA","Single Loop",38.8168941,-77.4731597,,65,60
33,1124,2,"Lane 2 WB Normal","Northern Virginia","I-66","West","I-66 NEAR Lee Hwy @ MM 50.3","Normal","VDOT_NOVA","Single Loop",38.8169268,-77.4731816,,65,60
34,1124,3,"Lane 3 WB Normal","Northern Virginia","I-66","West","I-66 NEAR Lee Hwy @ MM 50.3","Normal","VDOT_NOVA","Single Loop",38.8169580,-77.4732015,,65,60
35,1124,4,"Lane 4 WB Normal","Northern Virginia","I-66","West","I-66 NEAR Lee Hwy @ MM 50.3","Normal","VDOT_NOVA","Single Loop",38.8169864,-77.4732207,,65,60
40,1323,1,"Lane 1 WB Normal","Northern Virginia","I-66","West","I-66 NEAR Lee Hwy @ MM 50.45","Normal","VDOT_NOVA","Single Loop",38.8203295,-77.4654567,,65,60
41,1126,2,"Lane 2 WB Normal","Northern Virginia","I-66","West","I-66 NEAR Lee Hwy @ MM 50.45","Normal","VDOT_NOVA","Single Loop",38.8203568,-77.4654805,,65,60
42,1126,3,"Lane 3 WB Normal","Northern Virginia","I-66","West","I-66 NEAR Lee Hwy @ MM 50.45","Normal","VDOT_NOVA","Single Loop",38.8203885,-77.4655034,,65,60
43,1126,4,"Lane 4 WB Normal","Northern Virginia","I-66","West","I-66 NEAR Lee Hwy @ MM 50.45","Normal","VDOT_NOVA","Single Loop",38.8204184,-77.4655265,,65,60
48,1325,1,"Lane 1 WB Normal","Northern Virginia","I-66","West","I-66 NEAR Lee Hwy @ MM 51.27","Normal","VDOT_NOVA","Single Loop",38.8249237,-77.4586535,,65,60
49,1128,2,"Lane 2 WB Normal","Northern Virginia","I-66","West","I-66 NEAR Lee Hwy @ MM 51.27","Normal","VDOT_NOVA","Single Loop",38.8249483,-77.4586844,,65,60
50,1128,3,"Lane 3 WB Normal","Northern Virginia","I-66","West","I-66 NEAR Lee Hwy @ MM 51.27","Normal","VDOT_NOVA","Single Loop",38.8249730,-77.4587157,,65,60
51,1128,4,"Lane 4 WB Normal","Northern Virginia","I-66","West","I-66 NEAR Lee Hwy @ MM 51.27","Normal","VDOT_NOVA","Single Loop",38.8249971,-77.4587429,,65,60
52,1326,1,"Lane 1 EB Normal","Northern Virginia","I-66","East","I-66 NEAR Lee Hwy @ MM 51.74","Normal","VDOT_NOVA","Single Loop",38.8320830,-77.4514367,,65,60
53,1129,2,"Lane 2 EB Normal","Northern Virginia","I-66","East","I-66 NEAR Lee Hwy @ MM 51.74","Normal","VDOT_NOVA","Single Loop",38.8320665,-77.4514026,,65,60
54,1129,3,"Lane 3 EB Normal","Northern Virginia","I-66","East","I-66 NEAR Lee Hwy @ MM 51.74","Normal","VDOT_NOVA","Single Loop",38.8320464,-77.4513651,,65,60
55,1129,4,"Lane 4 EB Normal","Northern Virginia","I-66","East","I-66 NEAR Lee Hwy @ MM 51.74","Normal","VDOT_NOVA","Single Loop",38.8320273,-77.4513270,,65,60
56,1327,1,"Lane 1 WB Normal","Northern Virginia","I-66","West","I-66 NEAR Lee Hwy @ MM 51.74","Normal","VDOT_NOVA","Single Loop",38.8322090,-77.4515513,,65,60
57,1130,2,"Lane 2 WB Normal","Northern Virginia","I-66","West","I-66 NEAR Lee Hwy @ MM 51.74","Normal","VDOT_NOVA","Single Loop",38.8322273,-77.4515852,,65,60
58,1130,3,"Lane 3 WB Normal","Northern Virginia","I-66","West","I-66 NEAR Lee Hwy @ MM 51.74","Normal","VDOT_NOVA","Single Loop",38.8322475,-77.4516250,,65,60
59,1130,4,"Lane 4 WB Normal","Northern Virginia","I-66","West","I-66 NEAR Lee Hwy @ MM 51.74","Normal","VDOT_NOVA","Single Loop",38.8322656,-77.4516611,,65,60
60,1328,1,"Lane 1 EB Normal","Northern Virginia","I-66","East","I-66 NEAR Lee Hwy @ MM 52.05","Normal","VDOT_NOVA","Single Loop",38.8377644,-77.4463627,,65,60
61,1131,2,"Lane 2 EB Normal","Northern Virginia","I-66","East","I-66 NEAR Lee Hwy @ MM 52.05","Normal","VDOT_NOVA","Single Loop",38.8377440,-77.4463236,,65,60
62,1131,3,"Lane 3 EB Normal","Northern Virginia","I-66","East","I-66 NEAR Lee Hwy @ MM 52.05","Normal","VDOT_NOVA","Single Loop",38.8377248,-77.4462880,,65,60
63,1131,4,"Lane 4 EB Normal","Northern Virginia","I-66","East","I-66 NEAR Lee Hwy @ MM 52.05","Normal","VDOT_NOVA","Single Loop",38.8377052,-77.4462526,,65,60
64,900,1,"Lane 1 EB OnRamp","Northern Virginia","I-66","East","I-66 NEAR Lee Hwy @ MM 52.05","On Ramp","VDOT_NOVA","Single Loop",38.8394196,-77.4446002,,65,60
65,1329,1,"Lane 1 EB Normal","Northern Virginia","I-66","East","I-66 NEAR Lee Hwy @ MM 52.89","Normal","VDOT_NOVA","Single Loop",38.8434436,-77.4402243,,65,60
66,1132,2,"Lane 2 EB Normal","Northern Virginia","I-66","East","I-66 NEAR Lee Hwy @ MM 52.89","Normal","VDOT_NOVA","Single Loop",38.8434194,-77.4402005,,65,60
